2008年11月19日以降
コード, 降水種別
40, 降水(弱)
60, 雨(弱)
70, 雪(弱)
77, 雪みぞれ


2008年11月19日以前
コード, 降水種別
62, 雨
68, 雨みぞれ、雨みぞれ雪
72, 雪
