観測地点番号, 区分, 地点名_漢字, 地点名_カタカナ, 都道府県名, 市町村区名, 施設名
47657, 東京, 三島, ミシマ, 静岡県, 三島市, 三島特別地域気象観測所
47662, 東京, 東京, トウキョウ, 東京都, 千代田区, 東京管区気象台
47663, 東京, 尾鷲, オワセ, 三重県, 尾鷲市, 尾鷲特別地域気象観測所
47666, 東京, 石廊崎, イロウザキ, 静岡県, 賀茂郡南伊豆町, 石廊崎特別地域気象観測所
47668, 東京, 網代, アジロ, 静岡県, 熱海市, 網代特別地域気象観測所
47670, 東京, 横浜, ヨコハマ, 神奈川県, 横浜市中区, 横浜地方気象台
47672, 東京, 館山, タテヤマ, 千葉県, 館山市, 館山特別地域気象観測所
47674, 東京, 勝浦, カツウラ, 千葉県, 勝浦市, 勝浦特別地域気象観測所
47675, 東京, 大島, オオシマ, 東京都, 大島町, 大島特別地域気象観測所
47677, 東京, 三宅島, ミヤケジマ, 東京都, 三宅村, 三宅島特別地域気象観測所
47678, 東京, 八丈島, ハチジョウジマ, 東京都, 八丈町, 八丈島特別地域気象観測所
47682, 東京, 千葉, チバ, 千葉県, 千葉市中央区, 千葉特別地域気象観測所
47684, 東京, 四日市, ヨッカイチ, 三重県, 四日市市, 四日市特別地域気象観測所
47690, 東京, 日光, ニッコウ, 栃木県, 日光市, 日光特別地域気象観測所
47740, 大阪, 西郷, サイゴウ, 島根県, 隠岐郡隠岐の島町, 西郷特別地域気象観測所
47741, 大阪, 松江, マツエ, 島根県, 松江市, 松江地方気象台
47742, 大阪, 境, サカイ, 鳥取県, 境港市, 境特別地域気象観測所
47744, 大阪, 米子, ヨナゴ, 鳥取県, 米子市, 米子特別地域気象観測所
47746, 大阪, 鳥取, トットリ, 鳥取県, 鳥取市, 鳥取地方気象台
47747, 大阪, 豊岡, トヨオカ, 兵庫県, 豊岡市, 豊岡特別地域気象観測所
47750, 大阪, 舞鶴, マイヅル, 京都府, 舞鶴市, 舞鶴特別地域気象観測所
47754, 福岡, 萩, ハギ, 山口県, 萩市, 萩特別地域気象観測所
47755, 大阪, 浜田, ハマダ, 島根県, 浜田市, 浜田特別地域気象観測所
47756, 大阪, 津山, ツヤマ, 岡山県, 津山市, 津山特別地域気象観測所
47759, 大阪, 京都, キョウト, 京都府, 京都市中京区, 京都地方気象台
47761, 大阪, 彦根, ヒコネ, 滋賀県, 彦根市, 彦根地方気象台
47762, 福岡, 下関, シモノセキ, 山口県, 下関市, 下関地方気象台
47765, 大阪, 広島, ヒロシマ, 広島県, 広島市中区, 広島地方気象台
47766, 大阪, 呉, クレ, 広島県, 呉市, 呉特別地域気象観測所
47767, 大阪, 福山, フクヤマ, 広島県, 福山市, 福山特別地域気象観測所
47768, 大阪, 岡山, オカヤマ, 岡山県, 岡山市北区, 岡山地方気象台
47769, 大阪, 姫路, ヒメジ, 兵庫県, 姫路市, 姫路特別地域気象観測所
47770, 大阪, 神戸, コウベ, 兵庫県, 神戸市中央区, 神戸地方気象台
47772, 大阪, 大阪, オオサカ, 大阪府, 大阪市中央区, 大阪管区気象台
47776, 大阪, 洲本, スモト, 兵庫県, 洲本市, 洲本特別地域気象観測所
47777, 大阪, 和歌山, ワカヤマ, 和歌山県, 和歌山市, 和歌山地方気象台
47778, 大阪, 潮岬, シオノミサキ, 和歌山県, 東牟婁郡串本町, 潮岬特別地域気象観測所
47780, 大阪, 奈良, ナラ, 奈良県, 奈良市, 奈良地方気象台
47784, 福岡, 山口, ヤマグチ, 山口県, 山口市, 山口特別地域気象観測所
47800, 福岡, 厳原, イヅハラ, 長崎県, 対馬市, 厳原特別地域気象観測所
47805, 福岡, 平戸, ヒラド, 長崎県, 平戸市, 平戸特別地域気象観測所
47807, 福岡, 福岡, フクオカ, 福岡県, 福岡市中央区, 福岡管区気象台
47809, 福岡, 飯塚, イイヅカ, 福岡県, 飯塚市, 飯塚特別地域気象観測所
47812, 福岡, 佐世保, サセボ, 長崎県, 佐世保市, 佐世保特別地域気象観測所
47813, 福岡, 佐賀, サガ, 佐賀県, 佐賀市, 佐賀地方気象台
47814, 福岡, 日田, ヒタ, 大分県, 日田市, 日田特別地域気象観測所
47815, 福岡, 大分, オオイタ, 大分県, 大分市, 大分地方気象台
47817, 福岡, 長崎, ナガサキ, 長崎県, 長崎市, 長崎地方気象台
47818, 福岡, 雲仙岳, ウンゼンダケ, 長崎県, 雲仙市, 雲仙岳特別地域気象観測所
