地上気象観測10秒値ファイル（2015年3月3日以降）フォーマット
	
収録内容, 地上10秒値データを1日1地点1ファイルごとに収録
ファイル名, sfc_10sec_YYYYMMDD.SSSSS YYYY：西暦年、MM：月、DD:日、SSSSS：国際地点番号
レコード仕様, 記録形式：バイナリ形式（バイトオーダー：リトルエンディアン）
, ソート順序：観測時刻順
, ファイルサイズ：262バイト×6×60×24（2263680バイト）
注意, データを取得できなかった時には、初期値が格納されている。（バイト数1バイト：127、2バイト：32767、4バイト：2147483647）
, 10秒値を利用する場合は以下に留意すること。
, ・ システムの動作状況により値がない場合がある。
, ・ AQC（自動品質管理、https://www.data.jma.go.jp/obd/stats/data/kaisetu/shishin/shishin_3.pdf）を行っていないので不良値が入っている可能性あり。
, ・ 同時刻の値であっても、計算方法（例：瞬間値と1分平均値）の違いにより、時別値等と値が異なることがある。
, ・ 気温、湿度（露点）、気圧 は センサー情報をもとに求めたオリジナルの値であり、通常の瞬間値とは異なる（通常の瞬間値は応答特性を考慮し、センサー情報を1分移動平均して求めている）。

観測項目名,バイト数,開始バイト
地点情報,52,1
雨,13,53
風,41,66
気温,5,107
日照,9,112
日射量,9,121
積雪,5,130
気圧,9,135
湿度,5,144
視程,29,149
風,41,178
HK,44,219

通し番号,観測項目名,詳細項目,単位,バイト数,開始バイト,備考
52,湿度,障害状況識別符,,1,144,
53,湿度,湿度データ,0.10%,4,145,
54,視程,障害状況識別符,,1,149,
55,視程,前1分間平均視程,m,4,150,
56,視程,前10分間平均視程,m,4,154,
57,視程,現在天気（瞬間）,,4,158,
58,視程,現在天気（15分）,,4,162,
59,視程,現在天気（1時間）,,4,166,
60,視程,降水強度（視程）,,4,170,
61,視程,積算降雪量(視程）,,4,174,
62,風（0.25秒値）,障害状況識別符,,1,178,
63,風（0.25秒値）,前10秒間CW風向の最大値,度,4,179,風向：1 度単位（ 1度～360度）で格納されている。
64,風（0.25秒値）,前10秒間CCW風向の最大値,度,4,183,風向：1 度単位（ 1度～360度）で格納されている。
65,風（0.25秒値）,前10秒間最大瞬間風速,0.1m/s,4,187,
66,風（0.25秒値）,前10秒間最大瞬間風速時の風向,度,4,191,風向：1 度単位（ 1度～360度）で格納されている。
67,風（0.25秒値）,前10秒間最小瞬間風速,0.1m/s,4,195,
68,風（0.25秒値）,前10秒間風向有効データ数,,4,199,
69,風（0.25秒値）,前10秒間風速有効データ数,,4,203,
70,風（0.25秒値）,前10秒間風程,,4,207,
71,風（0.25秒値）,前10秒間積算風向ベクトルX成分,,4,211,ベクトル成分は、有効桁数小数第3位までのものを1000倍し、50000加算してある。例：34.810 -->84810
72,風（0.25秒値）,前10秒間積算風向ベクトルY成分,,4,215,ベクトル成分は、有効桁数小数第3位までのものを1000倍し、50000加算してある。例：34.810 -->84810
73,HK,雨量HK,,4,219,
74,HK,風HK（3秒平均値）,,4,223,
75,HK,風HK（2.5秒値）,,4,227,
76,HK,気温HK,,4,231,
77,HK,日照HK,,4,235,
78,HK,積雪HK,,4,239,
79,HK,湿度HK,,4,243,
80,HK,気圧HK,,4,247,
81,HK,視程HK,,4,251,
82,HK,日射HK,,4,255,
83,HK,装置HK,,4,259,
